,product_name,product_full_price,product_off_price,product_discount,shop_loc,shop_name,avg_rating,sold,sold_is_more,category_name
322,Xiaomi Poco C65 NFC 16GB 256GB (8+8/256) + 12GB 128GB (6+6/128) New Original Garansi Resmi,1610000,0,0,Jakarta Utara,CA Shop,0.0,13 ,0,Handphone
323,Xiaomi REDMI NOTE 13 LTE 8/128 GB Garansi Resmi,2190000,0,0,Jakarta Pusat,PS.ONLINE OFFICIAL STORE,5.0,19 ,0,Handphone
324,Xiaomi 14 5G 12/256 Garansi Resmi Xiaomi Indonesia ,11699000,0,0,Jakarta Utara,Prince Gadget Indonesia,0.0,0,0,Handphone
325,XIAOMI REDMI NOTE 13 PRO 5G 12/512 GB GARANSI RESMI ,4890000,0,0,Tangerang,angel 19,0.0,0,0,Handphone
326,Xiaomi Poco M5S NFC [ 4/64GB ] Garansi Resmi,1890000,1160000,730000,Jakarta Pusat,Scorpio Electro,5.0,30,1,Handphone
327,Xiaomi Redmi Note 13 4G 8/128GB 8/256GB 5G 8/256GB,2490000,2320000,170000,Tangerang,Myfon Teleshop Official,0.0,0,0,Handphone
328,XIAOMI REDMI NOTE 13 PRO 5G 12/512 GARANSI RESMI XIAOMI INDONESIA TERMURAH,5099000,4848500,250500,Surabaya,Hapemall.id,0.0,1 ,0,Handphone
329,Xiaomi REDMI NOTE 13 PRO 5G 12/512 Garansi Resmi,4990000,4570000,420000,Jakarta Pusat,PS.ONLINE OFFICIAL STORE,5.0,28 ,0,Handphone
330,Xiaomi Redmi Note 13 Pro 5G 12/512GB - Garansi Resmi,4860000,0,0,Jakarta Timur,ucell cempaka,0.0,0,0,Handphone
331,XIAOMI REDMI NOTE 13 PRO 5G 12/512 GB GARANSI RESMI XIAOMI NOTE 13 PRO 5G 12/512 GB XIAOMI REDMI NOTE 13 PRO 5G,5790000,4900000,890000,Tangerang,STR-STORE,5.0,2 ,0,Handphone
332,Xiaomi Redmi Note 13 8/128 Garansi Resmi Xiaomi Indonesia,2345000,0,0,Jakarta Utara,Vote VIP,0.0,0,0,Handphone
333,Xiaomi Poco X6 Pro 5G 12/512GB Garansi Resmi,5145000,0,0,Kediri,Garden Cell Official,5.0,5 ,0,Handphone
334,Xiaomi Pad 6S Pro 12.4 - 8/256GB - GARANSI RESMI XIAOMI INDONESIA,8880000,0,0,Bandung,Smile Mobile Phone Shop,0.0,0,0,Handphone
335,Xiaomi Redmi Note 13 Pro 5G 12GB/512GB Garansi Resmi Indonesia,4999000,0,0,Medan,INTIKOM STORE,5.0,4 ,0,Handphone
336,Xiaomi Redmi Note 13 Pro 8/256 GB Garansi Resmi,3750000,0,0,Bandung,Antaboga Phone,0.0,0,0,Handphone
337,Xiaomi Redmi Note 13 6/128 8/128 & 8/256 GB,2390000,0,0,Bandung,MetaCore,0.0,0,0,Handphone
338,XIAOMI PAD 6S PRO 8/256 GB RAM 8GB ROM 256GB GARANSI RESMI,7990000,0,0,Bekasi,JJ SHOP PEDIA 2,5.0,1 ,0,Handphone
339,Xiaomi Redmi Note 13 5G 8/256Gb Garansi Resmi Tam,3390000,2770000,620000,Jakarta Selatan,Ini Toko Budi,0.0,1 ,0,Handphone
340,Xiaomi Redmi A3 4/128 GB Garansi Resmi 4+4 128 GB Black Blue not a2,1390000,1112000,278000,Jakarta Pusat,Digitalisme,5.0,100,1,Handphone
341,Xiaomi Redmi A3 4/128 GB 4/64 GB Garansi Resmi Redmi A3 Not A1 A2 ,1990000,1348000,642000,Jakarta Pusat,Distributor Ponsel,5.0,500,1,Handphone
342,Xiaomi Redmi Note 13 Pro+ 5G 12/512 8/256 GB Garansi Resmi not 12 pro,4290000,3500000,790000,Jakarta Pusat,Digitalisme,4.9,100,1,Handphone
343,Xiaomi 14 5G [12/256 GB] Garansi Resmi Xiaomi Indonesia,12900000,11115000,1785000,Jakarta Barat,duniagadgetku,5.0,8 ,0,Handphone
344,Xiaomi Redmi 10 5G Smartphone (6/128GB) Garansi Resmi,2699000,1669000,1030000,Jakarta Pusat,Global Teleshop,5.0,100,1,Handphone
345,Xiaomi Redmi Note 13 4G 8/256Gb 8/128Gb Garansi Resmi Tam,2690000,0,0,Jakarta Selatan,Ini Toko Budi,0.0,0,0,Handphone
346,Xiaomi Redmi Note 13 4G 8/128GB New,2499000,0,0,Semarang,Sinar Mas Selluler CLsmg,5.0,2 ,0,Handphone
347,Xiaomi POCO M6 Pro LTE 8/256GB - Garansi Resmi,2840000,0,0,Jakarta Pusat,PS.ONLINE OFFICIAL STORE,5.0,28 ,0,Handphone
348,Xiaomi Poco M5s 4/64 Garansi Resmi Xiaomi Indonesia,1499000,0,0,Jakarta Pusat,PS.ONLINE OFFICIAL STORE,5.0,6 ,0,Handphone
349,Xiaomi Redmi Note 13 Pro 5G 12/512GB,4999000,0,0,Cimahi,Atlantic Cellular,0.0,1 ,0,Handphone
350,Xiaomi Redmi Note 13 Pro 5G 12/512GB 6.67 Inch Garansi Resmi - Black,4999000,0,0,Balikpapan,Andalas Cellular Bpn,5.0,2 ,0,Handphone
351,Xiaomi Redmi Note 13 Pro 5G 12/512 GB Garansi Resmi not 12 pro,5590000,4860000,730000,Jakarta Pusat,Digitalisme,5.0,100,1,Handphone
352,Xiaomi Redmi Note 13 Pro 5G 12/512GB - Garansi Resmi,5090000,4640000,450000,Jakarta Pusat,Pandawatiga,0.0,1 ,0,Handphone
353,Xiaomi Redmi Note 13 4G 8/128 Ram 8GB Rom 128GB Garansi Resmi,2330000,0,0,Bekasi,Angel Phone Shop,0.0,2 ,0,Handphone
354,Xiaomi Redmi Note 13 4G 8/128 Ram 8GB Rom 128GB Garansi Resmi,2490000,2330000,160000,Bekasi,PREMIUM OFFICIAL STORE,5.0,18 ,0,Handphone
355,Xiaomi Redmi A3 4+128GB Original Garansi Resmi 15 Bulan,1290000,1189000,101000,Malang,Pelengkapmu Accecories,5.0,6 ,0,Handphone
356,Xiaomi Redmi A3 Smartphone 4/128Gb Garansi Resmi,1490000,1130000,360000,Jakarta Pusat,Global Teleshop,5.0,60,1,Handphone
357,Xiaomi Redmi Note 12 Pro 5G Smartphone 8GB/256GB Garansi Resmi,4590000,3477000,1113000,Jakarta Pusat,Global Teleshop,5.0,80,1,Handphone
358,Xiaomi Redmi Note 13 4G 8/128 Ram 8GB Rom 128GB Garansi Resmi,2330000,0,0,Bekasi,Shadow Gold,0.0,2 ,0,Handphone
359,Xiaomi Redmi Note 13 Pro 5G - 12/512GB - GARANSI RESMI PT. XIAOMI,4840000,0,0,Bandung,Smile Mobile Phone Shop,0.0,3 ,0,Handphone
360,Xiaomi Redmi Note 13 8/128GB 6.67 Inch Garansi Resmi,2499000,2399000,100000,Balikpapan,Andalas Cellular Bpn,5.0,5 ,0,Handphone
361,Xiaomi Redmi Note 13 Pro 5G 12/512GB android,4999000,0,0,Semarang,Hape Joss,5.0,3 ,0,Handphone
362,Xiaomi Redmi Note 13 ram 8/128gb Garansi Resmi,2340000,0,0,Kediri,Garden Cell Official,5.0,23 ,0,Handphone
